"","Так /  Да","Ні / Нет"
"16",0.00330326515055266,0
"17",0.0100368441112946,0.00198807157057654
"18",0.0195654935840427,0.00397614314115308
"18.5",0.000127048659636641,0
"19",0.0312539702706136,0.0119284294234592
"20",0.0501842205564731,0.0198807157057654
"21",0.0564096048786685,0.0278330019880716
"22",0.0619997459026807,0.0278330019880716
"23",0.0584423834328548,0.0218687872763419
"24",0.0627620378605006,0.0437375745526839
"25",0.0571718968364884,0.0437375745526839
"26",0.0561555075593952,0.0576540755467197
"27",0.0546309236437556,0.0854870775347912
"28",0.0598399186888578,0.047713717693837
"29",0.0504383178757464,0.0497017892644135
"30",0.0630161351797738,0.0656063618290258
"31",0.0435776902553678,0.0596421471172962
"32",0.0416719603608182,0.0636182902584493
"33",0.0332867488247999,0.0675944333996024
"34",0.0306187269724304,0.0337972166998012
"35",0.0271884131622411,0.0417495029821074
"36",0.0232499047135053,0.0377733598409543
"37",0.0172786177105832,0.0357852882703777
"38",0.0152458391563969,0.0278330019880716
"39",0.0110532333883878,0.0198807157057654
"40",0.0129589632829374,0.0278330019880716
"41",0.0062253843221954,0.0099403578528827
"42",0.00825816287638165,0.0159045725646123
"43",0.00787701689747173,0.0119284294234592
"44",0.00431965442764579,0.00795228628230616
"45",0.00444670308728243,0.0139165009940358
"46",0.00330326515055266,0.00198807157057654
"47",0.0027950705120061,0.00596421471172962
"48",0.00165163257527633,0
"49",0.00127048659636641,0
"50",0.00152458391563969,0.00198807157057654
"51",0.000889340617456486,0.00198807157057654
"52",0.000635243298183204,0.00198807157057654
"53",0.000508194638546563,0
"54",0.000381145978909923,0
"55",0.000635243298183204,0
"56",0.000635243298183204,0
"57",0.000381145978909923,0
"58",0.000635243298183204,0
"59",0.000635243298183204,0
"60",0.000508194638546563,0
"61",0.000127048659636641,0
"62",0.000127048659636641,0
"63",0.000127048659636641,0
"64",0.000127048659636641,0
"65",0.000254097319273282,0
"67",0.000127048659636641,0.00198807157057654
"89",0.000127048659636641,0
