language,si
Swift,0.9384615384615385
Rust,0.8846153846153846
Kotlin,0.8837209302325582
C#,0.8805147058823529
Dart,0.8372093023255814
Go,0.8355263157894737
TypeScript,0.8050139275766016
Elixir,0.7857142857142857
Python,0.7380720545277507
Scala,0.7352941176470589
Java,0.7242614145031334
Apex,0.7083333333333334
C++,0.672566371681416
Clojure,0.6666666666666666
Ruby,0.6527777777777778
PHP,0.5904936014625228
C,0.5185185185185185
JavaScript,0.5162548764629389
ABAP,0.5
Erlang,0.4
R,0.375
Pascal/Delphi,0.2857142857142857
DB,0.23863636363636365
1C,0.14705882352941177
Groovy,0.14285714285714285
