nYears,All,Java,Kotlin,Scala
0.25,1.9603097773475315,1.1505273250239694,2.112676056338028,0
0.5,3.3639883833494677,2.109300095877277,4.225352112676056,2.4390243902439024
1.0,4.791868344627299,3.2598274209012463,2.8169014084507045,0
1.5,5.082284607938044,3.8350910834132312,3.873239436619718,2.4390243902439024
2.0,12.015972894482092,13.135186960690318,9.859154929577464,0
3.0,14.629719264278801,14.189837008628956,10.915492957746478,17.073170731707318
4.0,10.600193610842206,11.888782358581016,7.042253521126761,7.317073170731707
5.0,10.721200387221684,11.888782358581016,8.80281690140845,21.951219512195124
6.0,8.470474346563407,8.62895493767977,9.15492957746479,7.317073170731707
7.0,6.836882865440465,7.094918504314478,9.507042253521126,4.878048780487805
8.0,4.888673765730881,4.218600191754554,10.915492957746478,4.878048780487805
9.0,2.6258470474346565,2.876318312559923,4.577464788732395,4.878048780487805
10.0,4.259438528557599,5.081495685522531,6.690140845070422,7.317073170731707
11.0,2.0087124878993223,2.972195589645254,3.5211267605633805,4.878048780487805
12.0,2.045014520813165,2.7804410354745923,2.464788732394366,2.4390243902439024
13.0,1.052758954501452,0.5752636625119847,1.4084507042253522,2.4390243902439024
14.0,0.5808325266214909,0.19175455417066153,0.7042253521126761,2.4390243902439024
15.0,4.065827686350436,4.1227229146692235,1.4084507042253522,7.317073170731707
