language,cnt,freq,diff,cnt_additional,cnt_pet_projects,si
JavaScript,1259,15.36,-3.74,2914,805,61.2
TypeScript,1237,15.09,1.81,1602,609,87.9
Python,1205,14.7,1.29,1239,559,80.7
Java,1043,12.72,-1.26,708,423,79.1
C#,1040,12.69,-0.6,435,391,89.3
PHP,573,6.99,,386,236,71.1
Kotlin,284,3.46,0.24,217,132,91.6
DB,259,3.16,0.49,3134,154,45.3
C++,258,3.15,0.32,265,241,85.2
Swift,188,2.29,-0.2,135,102,93.3
Go,173,2.11,0.25,331,168,92.1
Ruby,160,1.95,0.17,111,85,71.1
Dart,92,1.12,,95,69,90.1
C,57,,,176,104,62.5
Apex,45,,-0.12,16,6,75.0
1C,42,,,27,20,32.5
Scala,41,,-0.32,81,16,61.5
Rust,38,,0.15,56,73,94.6
Groovy,27,,,242,3,14.3
Bash,19,,0.23,26,4,0.0
ABAP,14,,0.11,,,58.3
X++ / D365,11,,0.13,10,,0.0
Elixir,10,,,14,16,90.0
Clojure,9,,,7,4,100.0
R,9,,,41,10,55.6
Terraform HCL,9,,0.11,,,0.0
Pascal/Delphi,8,,,17,14,50.0
Objective-C,7,,,117,16,16.7
"AL, C/AL",6,,,,,0.0
Perl,5,,,22,9,0.0
