language,freq2019,freq2020,freq2021,freq2022,freq2023
TypeScript,0.0636969192339717,0.10222273674461681,0.1328450704225352,0.15090886909845067,0.1708886208283072
Python,0.1115736885928393,0.11067376707571197,0.13408450704225353,0.14700500182993778,0.17035249966492427
JavaScript,0.16666666666666666,0.18534382959018292,0.19098591549295774,0.15359277784555325,0.13403029084573115
C#,0.13169580904801553,0.14494095855522113,0.1328450704225352,0.12687568622666828,0.11901889827100925
Java,0.1357202331390508,0.14065755962028248,0.13983098591549295,0.12724167378309137,0.11834874681678059
PHP,0.093255620316403,0.10407501736513082,0.07064788732394366,0.06990362327680859,0.06768529687709422
DB,0.00832639467110741,0.014007872192637185,0.026704225352112677,0.03159692570452605,0.03927087521779922
Kotlin,0.02414654454621149,0.033341051169252144,0.032225352112676055,0.03464682200805173,0.031497118348746814
C++,0.04218706633361088,0.03241491085899514,0.02828169014084507,0.031474929852385015,0.029084573113523655
Go,0.018318068276436304,0.021648529752257468,0.018591549295774647,0.021105282420397706,0.021712907117008445
Swift,0.028309741881765195,0.032993748552905766,0.024901408450704224,0.022935220202513113,0.02117678595362552
Ruby,0.027477102414654453,0.020953924519564713,0.01780281690140845,0.019519336342564354,0.014341241120493231
Dart,0.0076325284485151265,0.009956008335262792,0.010816901408450704,0.011223618396974503,0.01166063530357861
C,0.01096308631695809,0.009377170641352165,0.006535211267605634,0.006953763572038551,0.010052271813429835
1C,0.008742714404662781,0.00717758740449178,0.00428169014084507,0.005123825789923143,0.006299423669749364
