language,freq2021,freq2022,freq2023,freq2024
Java,0.29085062847120724,0.26979055733049345,0.25667828106852497,0.2656015976035946
C#,0.17597193802981584,0.1870784522541711,0.1862175764614789,0.1727408886669995
PHP,0.17714118678748902,0.14235001774937878,0.15718157181571815,0.15926110833749377
Python,0.12949429991230635,0.1324103656372027,0.12040263259775455,0.1328007988017973
TypeScript,0.033031277404267756,0.054313099041533544,0.05845915602013163,0.0654018971542686
Go,0.04355451622332651,0.04792332268370607,0.047619047619047616,0.056415376934598103
JavaScript,0.03010815551008477,0.04792332268370607,0.03948896631823461,0.03944083874188717
Ruby,0.036831335866705645,0.034788782392616256,0.03871467286101433,0.027958062905641536
C++,0.026600409237065185,0.027689030883919063,0.02981029810298103,0.020968547179231155
Kotlin,0.009061677871967261,0.012424565140220093,0.01084010840108401,0.01547678482276585
Scala,0.017246419175679626,0.01526446574369897,0.01084010840108401,0.011982026959560658
DB,0.008477053493130663,0.0067447639332623354,0.007355787843592722,0.0054917623564653024
Rust,0.002630809704764689,0.006034788782392616,0.011227255129694155,0.004992511233150275
Elixir,0.0017538731365097924,0.003549875754348598,0.003097173828881146,0.0024962556165751375
Clojure,0.0014615609470914938,0.0010649627263045794,0.0019357336430507162,0.00199700449326011
