language,freq2020,freq2021,freq2022,freq2023
TypeScript,0.10089804543053355,0.15875,0.19532554257095158,0.23646723646723647
C#,0.27205493924986796,0.24125,0.25125208681135225,0.21937321937321938
JavaScript,0.20549392498679345,0.231875,0.18697829716193656,0.1908831908831909
PHP,0.14791336502905442,0.124375,0.11936560934891485,0.12630579297245964
Java,0.08135235076597992,0.06875,0.0676126878130217,0.06267806267806268
Python,0.04490227152667723,0.04,0.03672787979966611,0.04368471035137702
Ruby,0.028526148969889066,0.028125,0.0333889816360601,0.03133903133903134
1C,0.025356576862123614,0.01625,0.02003338898163606,0.029439696106362774
Apex,0.024300052826201797,0.03125,0.0325542570951586,0.018043684710351376
C++,0.02694136291600634,0.0225,0.017529215358931552,0.00949667616334283
Go,0.01162176439513999,0.0075,0.007512520868113523,0.005698005698005698
Kotlin,0.0021130480718436345,0.004375,0.004173622704507512,0.005698005698005698
DB,0.004226096143687269,0.004375,0.004173622704507512,0.003798670465337132
Elixir,0.0021130480718436345,0.003125,0.0008347245409015025,0.003798670465337132
Dart,0.0021130480718436345,0.00125,0.0025041736227045075,0.002849002849002849
